course_title,domain,sub_domain,level,duration,paid_free,price,mentor,url
Introduction to Genomic Technologies,Life Sciences,Genetics,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/introduction-genomics
Bioinformatics,Life Sciences,Genetics,Beginner,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/bioinformatics
Genetic Underpinnings of Synaptic Disease,Life Sciences,Genetics,Intermediate,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/genetic-underpinnings-of-synaptic-disease
"The Little Stuff: Energy, Cells, and Genetics",Life Sciences,Genetics,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/the-little-stuff-energy-cells-and-genetics
Introduction to Human Behavioral Genetics,Life Sciences,Genetics,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/behavioralgenetics
Forensic Science: DNA Analysis,Life Sciences,Genetics,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/forensic-science-dna-analysis
mRNAs as Medicines,Life Sciences,Genetics,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/mrnas-as-medicines
Foundations of Neuroscience,Life Sciences,Neuroscience,Intermediate,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/foundations-of-neuroscience
Fundamental Neuroscience for Neuroimaging,Life Sciences,Neuroscience,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/neuroscience-neuroimaging
Neuroscience and Neuroimaging,Life Sciences,Neuroscience,Advanced,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/computational-neuroscience
Computational Neuroscience,Life Sciences,Neuroscience,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/computational-neuroscience
Neuroscience of Leadership: Leading with Your Brain,Life Sciences,Neuroscience,Beginner,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/neuroscience-of-leadership-leading-with-your-brain
Systems Biology and Biotechnology,Life Sciences,Biotechnology,Intermediate,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/systems-biology
Algae Biotechnology,Life Sciences,Biotechnology,Intermediate,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/algae-biotechnology
Drug Development Product Management,Life Sciences,Biotechnology,Beginner,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/drug-development-product-management
Drug Discovery,Life Sciences,Biotechnology,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/drug-discovery
Introduction to Bioinformatics,Life Sciences,Biotechnology,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/bits-introduction-to-bioinformatics
Introduction to Industrial Bioprocess Development,Life Sciences,Biotechnology,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/industrial-bioprocess-development
Ecology: Ecosystem Dynamics and Conservation,Life Sciences,Ecology,Intermediate,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/ecology-conservation
Introduction to Biology: Ecology,Life Sciences,Ecology,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/introduction-to-biology-ecology
Agroforestry,Life Sciences,Ecology,Intermediate,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/agroforestry-all
Wetland Science and Conservation,Life Sciences,Ecology,Intermediate,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/wetland-science-and-conservation
Indigenous Religions & Ecology,Life Sciences,Ecology,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/indigenous-religions-ecology
"Climate Change, Sustainability, and Global Public Health",Life Sciences,Ecology,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/climate-change-sustainability-and-global-public-health
Bugs 101: Insect-Human Interactions,Life Sciences,Ecology,Beginner,6,Free,0,Coursera Instructor,https://www.coursera.org/learn/bugs-101
RNA Biology with Eterna,Life Sciences,Molecular Biology,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/rna-biology
Basic Principles of Cell Signaling,Life Sciences,Molecular Biology,Advanced,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/basic-principles-of-cell-signaling
Bioinformatic Methods I,Life Sciences,Bioinformatics,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/bioinformatics-methods-1
